"id","dim1","dim2","rating","gender","age","edu"
193,22.46192564,13.79373713,46,"Female","35 to 44 years","4 year college"
194,14.39635812,27.90045037,11,"Male","45 to 54 years","2 year college"
195,27.66215359,18.94456456,16,"Male","25 to 34 years","2 year college"
196,12.18282973,18.71573242,65,"Male","18 to 24 years","4 year college"
197,25.5380546,27.85987784,75,"Male","35 to 44 years","4 year college"
198,17.43899932,13.29734864,12,"Female","55 to 64 years","4 year college"
199,18.31303187,27.96775952,35,"Female","35 to 44 years","High school"
200,25.35882444,19.37802896,18,"Male","25 to 34 years","4 year college"
201,12.51292847,19.07016651,20,"Male","35 to 44 years","Some college"
202,27.94875453,28.43105274,24,"Male","45 to 54 years","Masters degree"
203,14.04823468,13.89464074,16,"Male","35 to 44 years","Masters degree"
204,22.87895526,27.92059783,34,"Male","35 to 44 years","2 year college"
205,21.05384109,19.74468665,13,"Male","35 to 44 years","Masters degree"
206,14.6106234,18.57912481,46,"Female","35 to 44 years","High school"
207,26.85179251,28.13497768,82,"Male","35 to 44 years","4 year college"
208,11.52616013,13.52622762,33,"Male","25 to 34 years","Some college"
209,26.40629016,28.05237359,80,"Female","18 to 24 years","4 year college"
210,16.5116054,19.94379368,50,"Male","Age 65 or older","4 year college"
211,19.33007693,18.96869049,37,"Male","25 to 34 years","2 year college"
212,24.32398248,28.71694913,53,"Male","35 to 44 years","4 year college"
213,12.79648021,13.95664367,8,"Female","18 to 24 years","Some college"
214,27.95008024,28.09121767,1,"Male","35 to 44 years","Some college"
215,13.12804193,20.12799171,17,"Male","25 to 34 years","4 year college"
216,23.76400281,19.2437083,25,"Female","25 to 34 years","Masters degree"
217,19.85734401,29.18176025,46,"Female","45 to 54 years","High school"
218,15.93093881,14.36341813,9,"Male","25 to 34 years","4 year college"
219,26.95027228,28.09944117,24,"Male","25 to 34 years","4 year college"
220,12.13214366,20.525582,30,"Female","25 to 34 years","Some college"
221,27.06207321,19.09870549,25,"Female","35 to 44 years","Masters degree"
222,15.48038303,29.1430084,65,"Male","25 to 34 years","4 year college"
223,20.45496509,14.2706008,24,"Male","25 to 34 years","Some college"
224,23.46146655,28.27573336,40,"Male","25 to 34 years","4 year college"
225,13.53666708,20.7409408,10,"Male","25 to 34 years","4 year college"
226,27.96014856,18.9230128,35,"Male","45 to 54 years","4 year college"
227,12.82391478,29.28500958,64,"Male","25 to 34 years","2 year college"
228,25.05258061,14.36252217,1,"Female","35 to 44 years","4 year college"
229,18.92742202,28.37845248,44,"Female","Age 65 or older","Masters degree"
230,17.27900066,21.14982536,36,"Female","25 to 34 years","High school"
231,26.06382367,19.29504069,47,"Female","Age 65 or older","2 year college"
232,12.02751844,29.78629286,54,"Male","25 to 34 years","Doctoral"
233,27.46039302,14.87441807,39,"Female","25 to 34 years","Masters degree"
234,14.67627425,28.55566064,42,"Male","35 to 44 years","4 year college"
235,21.70388712,21.45737795,35,"Male","18 to 24 years","Some college"
236,22.2806753,19.43393308,4,"Female","Age 65 or older","Some college"
237,14.4552853,30.08253947,66,"Female","25 to 34 years","4 year college"
238,27.53712955,15.44537863,29,"Male","25 to 34 years","Doctoral"
239,12.2453179,28.94188416,24,"Female","25 to 34 years","Some college"
240,25.43724933,22.28396593,20,"Female","25 to 34 years","4 year college"
241,17.56760268,19.77009769,50,"Female","18 to 24 years","Some college"
242,18.05808301,30.61617458,61,"Male","25 to 34 years","4 year college"
243,25.24710889,15.89893623,89,"Male","25 to 34 years","4 year college"
244,12.38585227,28.74790254,34,"Male","55 to 64 years","Masters degree"
245,27.82977631,22.09373833,15,"Female","25 to 34 years","4 year college"
246,13.97558551,19.32234527,25,"Male","18 to 24 years","4 year college"
247,22.91060803,30.34149813,16,"Female","18 to 24 years","Some college"
248,21.30783842,15.25880052,64,"Female","55 to 64 years","High school"
249,15.16793681,28.5857816,45,"Female","45 to 54 years","High school"
250,27.47574917,22.36548908,59,"Female","25 to 34 years","Some college"
251,11.94919223,19.75696727,49,"Female","35 to 44 years","2 year college"
252,26.37069542,30.94624306,38,"Female","35 to 44 years","Some college"
253,16.68946086,15.55566717,9,"Female","25 to 34 years","2 year college"
254,19.72756047,28.91621203,82,"Female","25 to 34 years","Some college"
255,24.49697621,22.84689612,8,"Male","35 to 44 years","4 year college"
256,13.11245588,19.80683264,40,"Male","35 to 44 years","4 year college"
257,28.24600366,31.16323274,20,"Female","45 to 54 years","2 year college"
258,13.45710268,16.02464195,27,"Male","25 to 34 years","4 year college"
259,24.11438973,29.10459724,61,"Female","18 to 24 years","4 year college"
260,20.12728177,23.09566795,19,"Male","25 to 34 years","4 year college"
261,16.37452431,19.94065895,60,"Male","25 to 34 years","2 year college"
